"strategy","phase_1_vaccine_transmission_reduction","phase_2_3_vaccine_transmission_reduction","vaccine_uptake","relax_strategies","unmitigated_reproduction_rate","effect","change_in_HALYs","type"
"Aggressive Elimination",90,75,90,1,3.125,"Depression",-113.46,"Morbidity"
"Aggressive Elimination",90,75,90,1,3.75,"Depression",-223.64,"Morbidity"
"Aggressive Elimination",90,90,90,0,2.5,"Depression",-153.64,"Morbidity"
"Aggressive Elimination",90,90,90,0,3.125,"Depression",-231.93,"Morbidity"
"Aggressive Elimination",90,90,90,0,3.75,"Depression",-404.94,"Morbidity"
"Aggressive Elimination",90,90,90,1,2.5,"Depression",-67.86,"Morbidity"
"Aggressive Elimination",90,90,90,1,3.125,"Depression",-111.78,"Morbidity"
"Aggressive Elimination",90,90,90,1,3.75,"Depression",-218.93,"Morbidity"
"Moderate Elimination",50,50,60,0,2.5,"Depression",-25.75,"Morbidity"
"Moderate Elimination",50,50,60,0,3.125,"Depression",-152.83,"Morbidity"
"Moderate Elimination",50,50,60,0,3.75,"Depression",-489.36,"Morbidity"
"Moderate Elimination",50,50,60,1,2.5,"Depression",-1.94,"Morbidity"
"Moderate Elimination",50,50,60,1,3.125,"Depression",-22.55,"Morbidity"
"Moderate Elimination",50,50,60,1,3.75,"Depression",-299.85,"Morbidity"
"Moderate Elimination",50,75,60,0,2.5,"Depression",-10.96,"Morbidity"
"Moderate Elimination",50,75,60,0,3.125,"Depression",-95.68,"Morbidity"
"Moderate Elimination",50,75,60,0,3.75,"Depression",-408.53,"Morbidity"
"Moderate Elimination",50,75,60,1,2.5,"Depression",-1.94,"Morbidity"
"Moderate Elimination",50,75,60,1,3.125,"Depression",-22.69,"Morbidity"
"Moderate Elimination",50,75,60,1,3.75,"Depression",-204.64,"Morbidity"
"Moderate Elimination",50,90,60,0,2.5,"Depression",-4.4,"Morbidity"
"Moderate Elimination",50,90,60,0,3.125,"Depression",-73.83,"Morbidity"
"Moderate Elimination",50,90,60,0,3.75,"Depression",-337.9,"Morbidity"
"Moderate Elimination",50,90,60,1,2.5,"Depression",-1.94,"Morbidity"
"Moderate Elimination",50,90,60,1,3.125,"Depression",-21.32,"Morbidity"
"Moderate Elimination",50,90,60,1,3.75,"Depression",-181.48,"Morbidity"
"Moderate Elimination",75,50,60,0,2.5,"Depression",-17.22,"Morbidity"
"Moderate Elimination",75,50,60,0,3.125,"Depression",-108.59,"Morbidity"
"Moderate Elimination",75,50,60,0,3.75,"Depression",-410.6,"Morbidity"
"Moderate Elimination",75,50,60,1,2.5,"Depression",-0.49,"Morbidity"
"Moderate Elimination",75,50,60,1,3.125,"Depression",-18.35,"Morbidity"
"Moderate Elimination",75,50,60,1,3.75,"Depression",-188.8,"Morbidity"
"Moderate Elimination",75,75,60,0,2.5,"Depression",-3.75,"Morbidity"
"Moderate Elimination",75,75,60,0,3.125,"Depression",-61.47,"Morbidity"
"Moderate Elimination",75,75,60,0,3.75,"Depression",-318.55,"Morbidity"
"Moderate Elimination",75,75,60,1,2.5,"Depression",-0.49,"Morbidity"
"Moderate Elimination",75,75,60,1,3.125,"Depression",-17.86,"Morbidity"
"Moderate Elimination",75,75,60,1,3.75,"Depression",-145.95,"Morbidity"
"Moderate Elimination",75,90,60,0,2.5,"Depression",-3.43,"Morbidity"
"Moderate Elimination",75,90,60,0,3.125,"Depression",-47.94,"Morbidity"
"Moderate Elimination",75,90,60,0,3.75,"Depression",-258.37,"Morbidity"
"Moderate Elimination",75,90,60,1,2.5,"Depression",-0.49,"Morbidity"
"Moderate Elimination",75,90,60,1,3.125,"Depression",-17.86,"Morbidity"
"Moderate Elimination",75,90,60,1,3.75,"Depression",-130.57,"Morbidity"
"Moderate Elimination",90,50,60,0,2.5,"Depression",-12.83,"Morbidity"
"Moderate Elimination",90,50,60,0,3.125,"Depression",-72.37,"Morbidity"
"Moderate Elimination",90,50,60,0,3.75,"Depression",-328.22,"Morbidity"
"Moderate Elimination",90,50,60,1,2.5,"Depression",-0.96,"Morbidity"
"Moderate Elimination",90,50,60,1,3.125,"Depression",-13.36,"Morbidity"
"Moderate Elimination",90,50,60,1,3.75,"Depression",-126.43,"Morbidity"
"Moderate Elimination",90,75,60,0,2.5,"Depression",-4.49,"Morbidity"
"Moderate Elimination",90,75,60,0,3.125,"Depression",-43.42,"Morbidity"
"Moderate Elimination",90,75,60,0,3.75,"Depression",-257.73,"Morbidity"
"Moderate Elimination",90,75,60,1,2.5,"Depression",-0.96,"Morbidity"
"Moderate Elimination",90,75,60,1,3.125,"Depression",-13.84,"Morbidity"
"Moderate Elimination",90,75,60,1,3.75,"Depression",-112.98,"Morbidity"
"Moderate Elimination",90,90,60,0,2.5,"Depression",-1.91,"Morbidity"
"Moderate Elimination",90,90,60,0,3.125,"Depression",-29.54,"Morbidity"
"Moderate Elimination",90,90,60,0,3.75,"Depression",-211.59,"Morbidity"
"Moderate Elimination",90,90,60,1,2.5,"Depression",-0.96,"Morbidity"
"Moderate Elimination",90,90,60,1,3.125,"Depression",-13.36,"Morbidity"
"Moderate Elimination",90,90,60,1,3.75,"Depression",-102.07,"Morbidity"
"Moderate Elimination",50,50,75,0,2.5,"Depression",-17.55,"Morbidity"
"Moderate Elimination",50,50,75,0,3.125,"Depression",-118.7,"Morbidity"
"Moderate Elimination",50,50,75,0,3.75,"Depression",-437.41,"Morbidity"
"Moderate Elimination",50,50,75,1,2.5,"Depression",-2.42,"Morbidity"
"Moderate Elimination",50,50,75,1,3.125,"Depression",-18.62,"Morbidity"
"Moderate Elimination",50,50,75,1,3.75,"Depression",-222.54,"Morbidity"
"Moderate Elimination",50,75,75,0,2.5,"Depression",-8.41,"Morbidity"
"Moderate Elimination",50,75,75,0,3.125,"Depression",-66.89,"Morbidity"
"Moderate Elimination",50,75,75,0,3.75,"Depression",-337.6,"Morbidity"
"Moderate Elimination",50,75,75,1,2.5,"Depression",-1.93,"Morbidity"
"Moderate Elimination",50,75,75,1,3.125,"Depression",-17.43,"Morbidity"
"Moderate Elimination",50,75,75,1,3.75,"Depression",-161.41,"Morbidity"
"Moderate Elimination",50,90,75,0,2.5,"Depression",-2.92,"Morbidity"
"Moderate Elimination",50,90,75,0,3.125,"Depression",-47.05,"Morbidity"
"Moderate Elimination",50,90,75,0,3.75,"Depression",-265.4,"Morbidity"
"Moderate Elimination",50,90,75,1,2.5,"Depression",-1.93,"Morbidity"
"Moderate Elimination",50,90,75,1,3.125,"Depression",-16.94,"Morbidity"
"Moderate Elimination",50,90,75,1,3.75,"Depression",-149.93,"Morbidity"
"Moderate Elimination",75,50,75,0,2.5,"Depression",-9.56,"Morbidity"
"Moderate Elimination",75,50,75,0,3.125,"Depression",-75.69,"Morbidity"
"Moderate Elimination",75,50,75,0,3.75,"Depression",-334.54,"Morbidity"
"Moderate Elimination",75,50,75,1,2.5,"Depression",-0.97,"Morbidity"
"Moderate Elimination",75,50,75,1,3.125,"Depression",-16.04,"Morbidity"
"Moderate Elimination",75,50,75,1,3.75,"Depression",-137.42,"Morbidity"
"Moderate Elimination",75,75,75,0,2.5,"Depression",-2.96,"Morbidity"
"Moderate Elimination",75,75,75,0,3.125,"Depression",-45.99,"Morbidity"
"Moderate Elimination",75,75,75,0,3.75,"Depression",-230.6,"Morbidity"
"Moderate Elimination",75,75,75,1,2.5,"Depression",-0.97,"Morbidity"
"Moderate Elimination",75,75,75,1,3.125,"Depression",-16.53,"Morbidity"
"Moderate Elimination",75,75,75,1,3.75,"Depression",-112.08,"Morbidity"
"Moderate Elimination",75,90,75,0,2.5,"Depression",-0.97,"Morbidity"
"Moderate Elimination",75,90,75,0,3.125,"Depression",-36.57,"Morbidity"
"Moderate Elimination",75,90,75,0,3.75,"Depression",-188.65,"Morbidity"
"Moderate Elimination",75,90,75,1,2.5,"Depression",-0.97,"Morbidity"
"Moderate Elimination",75,90,75,1,3.125,"Depression",-16.04,"Morbidity"
"Moderate Elimination",75,90,75,1,3.75,"Depression",-107.19,"Morbidity"
"Moderate Elimination",90,50,75,0,2.5,"Depression",-6.14,"Morbidity"
"Moderate Elimination",90,50,75,0,3.125,"Depression",-37.45,"Morbidity"
"Moderate Elimination",90,50,75,0,3.75,"Depression",-241.15,"Morbidity"
"Moderate Elimination",90,50,75,1,2.5,"Depression",-1.44,"Morbidity"
"Moderate Elimination",90,50,75,1,3.125,"Depression",-12.59,"Morbidity"
"Moderate Elimination",90,50,75,1,3.75,"Depression",-89.44,"Morbidity"
"Moderate Elimination",90,75,75,0,2.5,"Depression",-2.91,"Morbidity"
"Moderate Elimination",90,75,75,0,3.125,"Depression",-22.82,"Morbidity"
"Moderate Elimination",90,75,75,0,3.75,"Depression",-163.48,"Morbidity"
"Moderate Elimination",90,75,75,1,2.5,"Depression",-1.44,"Morbidity"
"Moderate Elimination",90,75,75,1,3.125,"Depression",-12.59,"Morbidity"
"Moderate Elimination",90,75,75,1,3.75,"Depression",-84.02,"Morbidity"
"Moderate Elimination",90,90,75,0,2.5,"Depression",-1.44,"Morbidity"
"Moderate Elimination",90,90,75,0,3.125,"Depression",-17.37,"Morbidity"
"Moderate Elimination",90,90,75,0,3.75,"Depression",-133.21,"Morbidity"
"Moderate Elimination",90,90,75,1,2.5,"Depression",-1.44,"Morbidity"
"Moderate Elimination",90,90,75,1,3.125,"Depression",-12.59,"Morbidity"
"Moderate Elimination",90,90,75,1,3.75,"Depression",-79.77,"Morbidity"
"Moderate Elimination",50,50,90,0,2.5,"Depression",-11.99,"Morbidity"
"Moderate Elimination",50,50,90,0,3.125,"Depression",-89.39,"Morbidity"
"Moderate Elimination",50,50,90,0,3.75,"Depression",-362.01,"Morbidity"
"Moderate Elimination",50,50,90,1,2.5,"Depression",-0.98,"Morbidity"
"Moderate Elimination",50,50,90,1,3.125,"Depression",-21.03,"Morbidity"
"Moderate Elimination",50,50,90,1,3.75,"Depression",-174.91,"Morbidity"
"Moderate Elimination",50,75,90,0,2.5,"Depression",-1.47,"Morbidity"
"Moderate Elimination",50,75,90,0,3.125,"Depression",-55.71,"Morbidity"
"Moderate Elimination",50,75,90,0,3.75,"Depression",-281.09,"Morbidity"
"Moderate Elimination",50,75,90,1,2.5,"Depression",-0.98,"Morbidity"
"Moderate Elimination",50,75,90,1,3.125,"Depression",-20.56,"Morbidity"
"Moderate Elimination",50,75,90,1,3.75,"Depression",-134.33,"Morbidity"
"Moderate Elimination",50,90,90,0,2.5,"Depression",-1.47,"Morbidity"
"Moderate Elimination",50,90,90,0,3.125,"Depression",-44.02,"Morbidity"
"Moderate Elimination",50,90,90,0,3.75,"Depression",-219.69,"Morbidity"
"Moderate Elimination",50,90,90,1,2.5,"Depression",-0.98,"Morbidity"
"Moderate Elimination",50,90,90,1,3.125,"Depression",-21.05,"Morbidity"
"Moderate Elimination",50,90,90,1,3.75,"Depression",-121.1,"Morbidity"
"Moderate Elimination",75,50,90,0,2.5,"Depression",-5.1,"Morbidity"
"Moderate Elimination",75,50,90,0,3.125,"Depression",-47.67,"Morbidity"
"Moderate Elimination",75,50,90,0,3.75,"Depression",-252,"Morbidity"
"Moderate Elimination",75,50,90,1,2.5,"Depression",-0.49,"Morbidity"
"Moderate Elimination",75,50,90,1,3.125,"Depression",-13.35,"Morbidity"
"Moderate Elimination",75,50,90,1,3.75,"Depression",-97.11,"Morbidity"
"Moderate Elimination",75,75,90,0,2.5,"Depression",-1.96,"Morbidity"
"Moderate Elimination",75,75,90,0,3.125,"Depression",-26.07,"Morbidity"
"Moderate Elimination",75,75,90,0,3.75,"Depression",-179.89,"Morbidity"
"Moderate Elimination",75,75,90,1,2.5,"Depression",-0.49,"Morbidity"
"Moderate Elimination",75,75,90,1,3.125,"Depression",-13.35,"Morbidity"
"Moderate Elimination",75,75,90,1,3.75,"Depression",-87.85,"Morbidity"
"Moderate Elimination",75,90,90,0,2.5,"Depression",-0.98,"Morbidity"
"Moderate Elimination",75,90,90,0,3.125,"Depression",-23.03,"Morbidity"
"Moderate Elimination",75,90,90,0,3.75,"Depression",-155.11,"Morbidity"
"Moderate Elimination",75,90,90,1,2.5,"Depression",-0.49,"Morbidity"
"Moderate Elimination",75,90,90,1,3.125,"Depression",-13.35,"Morbidity"
"Moderate Elimination",75,90,90,1,3.75,"Depression",-83.99,"Morbidity"
"Moderate Elimination",90,50,90,0,2.5,"Depression",-0.93,"Morbidity"
"Moderate Elimination",90,50,90,0,3.125,"Depression",-25.96,"Morbidity"
"Moderate Elimination",90,50,90,0,3.75,"Depression",-170.54,"Morbidity"
"Moderate Elimination",90,50,90,1,2.5,"Depression",0,"Morbidity"
"Moderate Elimination",90,50,90,1,3.125,"Depression",-10.73,"Morbidity"
"Moderate Elimination",90,50,90,1,3.75,"Depression",-72.2,"Morbidity"
"Moderate Elimination",90,75,90,0,2.5,"Depression",-0.49,"Morbidity"
"Moderate Elimination",90,75,90,0,3.125,"Depression",-15.66,"Morbidity"
"Moderate Elimination",90,75,90,0,3.75,"Depression",-125.36,"Morbidity"
"Moderate Elimination",90,75,90,1,2.5,"Depression",0,"Morbidity"
"Moderate Elimination",90,75,90,1,3.125,"Depression",-10.73,"Morbidity"
"Moderate Elimination",90,75,90,1,3.75,"Depression",-70.95,"Morbidity"
"Moderate Elimination",90,90,90,0,2.5,"Depression",0,"Morbidity"
"Moderate Elimination",90,90,90,0,3.125,"Depression",-14.9,"Morbidity"
"Moderate Elimination",90,90,90,0,3.75,"Depression",-112.72,"Morbidity"
"Moderate Elimination",90,90,90,1,2.5,"Depression",0,"Morbidity"
"Moderate Elimination",90,90,90,1,3.125,"Depression",-10.73,"Morbidity"
"Moderate Elimination",90,90,90,1,3.75,"Depression",-71.4,"Morbidity"
"Tight Suppression",50,50,60,0,2.5,"Depression",-1.73,"Morbidity"
"Tight Suppression",50,50,60,0,3.125,"Depression",-216.86,"Morbidity"
"Tight Suppression",50,50,60,0,3.75,"Depression",-404.5,"Morbidity"
"Tight Suppression",50,50,60,1,2.5,"Depression",-0.95,"Morbidity"
"Tight Suppression",50,50,60,1,3.125,"Depression",-220.03,"Morbidity"
"Tight Suppression",50,50,60,1,3.75,"Depression",-412.46,"Morbidity"
"Tight Suppression",50,75,60,0,2.5,"Depression",-0.9,"Morbidity"
"Tight Suppression",50,75,60,0,3.125,"Depression",-175.56,"Morbidity"
"Tight Suppression",50,75,60,0,3.75,"Depression",-355.84,"Morbidity"
"Tight Suppression",50,75,60,1,2.5,"Depression",-0.56,"Morbidity"
"Tight Suppression",50,75,60,1,3.125,"Depression",-145.95,"Morbidity"
"Tight Suppression",50,75,60,1,3.75,"Depression",-374.17,"Morbidity"
"Tight Suppression",50,90,60,0,2.5,"Depression",-0.8,"Morbidity"
"Tight Suppression",50,90,60,0,3.125,"Depression",-145.68,"Morbidity"
"Tight Suppression",50,90,60,0,3.75,"Depression",-296.1,"Morbidity"
"Tight Suppression",50,90,60,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",50,90,60,1,3.125,"Depression",-134.06,"Morbidity"
"Tight Suppression",50,90,60,1,3.75,"Depression",-317.65,"Morbidity"
"Tight Suppression",75,50,60,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,50,60,0,3.125,"Depression",-167.7,"Morbidity"
"Tight Suppression",75,50,60,0,3.75,"Depression",-363.59,"Morbidity"
"Tight Suppression",75,50,60,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,50,60,1,3.125,"Depression",-140.28,"Morbidity"
"Tight Suppression",75,50,60,1,3.75,"Depression",-377.38,"Morbidity"
"Tight Suppression",75,75,60,0,2.5,"Depression",-1.79,"Morbidity"
"Tight Suppression",75,75,60,0,3.125,"Depression",-118.98,"Morbidity"
"Tight Suppression",75,75,60,0,3.75,"Depression",-304.04,"Morbidity"
"Tight Suppression",75,75,60,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,75,60,1,3.125,"Depression",-104.07,"Morbidity"
"Tight Suppression",75,75,60,1,3.75,"Depression",-315.32,"Morbidity"
"Tight Suppression",75,90,60,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,90,60,0,3.125,"Depression",-110.88,"Morbidity"
"Tight Suppression",75,90,60,0,3.75,"Depression",-234.59,"Morbidity"
"Tight Suppression",75,90,60,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,90,60,1,3.125,"Depression",-96.7,"Morbidity"
"Tight Suppression",75,90,60,1,3.75,"Depression",-253.02,"Morbidity"
"Tight Suppression",90,50,60,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,50,60,0,3.125,"Depression",-98.84,"Morbidity"
"Tight Suppression",90,50,60,0,3.75,"Depression",-347.27,"Morbidity"
"Tight Suppression",90,50,60,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,50,60,1,3.125,"Depression",-104.62,"Morbidity"
"Tight Suppression",90,50,60,1,3.75,"Depression",-370.7,"Morbidity"
"Tight Suppression",90,75,60,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,75,60,0,3.125,"Depression",-90.46,"Morbidity"
"Tight Suppression",90,75,60,0,3.75,"Depression",-258.72,"Morbidity"
"Tight Suppression",90,75,60,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,75,60,1,3.125,"Depression",-74.7,"Morbidity"
"Tight Suppression",90,75,60,1,3.75,"Depression",-282.79,"Morbidity"
"Tight Suppression",90,90,60,0,2.5,"Depression",-0.49,"Morbidity"
"Tight Suppression",90,90,60,0,3.125,"Depression",-79.45,"Morbidity"
"Tight Suppression",90,90,60,0,3.75,"Depression",-210.84,"Morbidity"
"Tight Suppression",90,90,60,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,90,60,1,3.125,"Depression",-70.08,"Morbidity"
"Tight Suppression",90,90,60,1,3.75,"Depression",-223.44,"Morbidity"
"Tight Suppression",50,50,75,0,2.5,"Depression",-0.47,"Morbidity"
"Tight Suppression",50,50,75,0,3.125,"Depression",-170.44,"Morbidity"
"Tight Suppression",50,50,75,0,3.75,"Depression",-368.87,"Morbidity"
"Tight Suppression",50,50,75,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",50,50,75,1,3.125,"Depression",-156.57,"Morbidity"
"Tight Suppression",50,50,75,1,3.75,"Depression",-385.17,"Morbidity"
"Tight Suppression",50,75,75,0,2.5,"Depression",-0.71,"Morbidity"
"Tight Suppression",50,75,75,0,3.125,"Depression",-136.15,"Morbidity"
"Tight Suppression",50,75,75,0,3.75,"Depression",-291.01,"Morbidity"
"Tight Suppression",50,75,75,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",50,75,75,1,3.125,"Depression",-118.2,"Morbidity"
"Tight Suppression",50,75,75,1,3.75,"Depression",-304.66,"Morbidity"
"Tight Suppression",50,90,75,0,2.5,"Depression",-1.32,"Morbidity"
"Tight Suppression",50,90,75,0,3.125,"Depression",-122.61,"Morbidity"
"Tight Suppression",50,90,75,0,3.75,"Depression",-222.13,"Morbidity"
"Tight Suppression",50,90,75,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",50,90,75,1,3.125,"Depression",-100.06,"Morbidity"
"Tight Suppression",50,90,75,1,3.75,"Depression",-251.43,"Morbidity"
"Tight Suppression",75,50,75,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,50,75,0,3.125,"Depression",-113.99,"Morbidity"
"Tight Suppression",75,50,75,0,3.75,"Depression",-328.51,"Morbidity"
"Tight Suppression",75,50,75,1,2.5,"Depression",-0.49,"Morbidity"
"Tight Suppression",75,50,75,1,3.125,"Depression",-97.87,"Morbidity"
"Tight Suppression",75,50,75,1,3.75,"Depression",-331.02,"Morbidity"
"Tight Suppression",75,75,75,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,75,75,0,3.125,"Depression",-85.6,"Morbidity"
"Tight Suppression",75,75,75,0,3.75,"Depression",-230.85,"Morbidity"
"Tight Suppression",75,75,75,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,75,75,1,3.125,"Depression",-71.55,"Morbidity"
"Tight Suppression",75,75,75,1,3.75,"Depression",-241.79,"Morbidity"
"Tight Suppression",75,90,75,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,90,75,0,3.125,"Depression",-77.91,"Morbidity"
"Tight Suppression",75,90,75,0,3.75,"Depression",-197.04,"Morbidity"
"Tight Suppression",75,90,75,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,90,75,1,3.125,"Depression",-63.22,"Morbidity"
"Tight Suppression",75,90,75,1,3.75,"Depression",-197.92,"Morbidity"
"Tight Suppression",90,50,75,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,50,75,0,3.125,"Depression",-59.97,"Morbidity"
"Tight Suppression",90,50,75,0,3.75,"Depression",-252.18,"Morbidity"
"Tight Suppression",90,50,75,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,50,75,1,3.125,"Depression",-48.18,"Morbidity"
"Tight Suppression",90,50,75,1,3.75,"Depression",-278.13,"Morbidity"
"Tight Suppression",90,75,75,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,75,75,0,3.125,"Depression",-47.37,"Morbidity"
"Tight Suppression",90,75,75,0,3.75,"Depression",-184.65,"Morbidity"
"Tight Suppression",90,75,75,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,75,75,1,3.125,"Depression",-39.26,"Morbidity"
"Tight Suppression",90,75,75,1,3.75,"Depression",-197.71,"Morbidity"
"Tight Suppression",90,90,75,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,90,75,0,3.125,"Depression",-44.85,"Morbidity"
"Tight Suppression",90,90,75,0,3.75,"Depression",-178.81,"Morbidity"
"Tight Suppression",90,90,75,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,90,75,1,3.125,"Depression",-34.54,"Morbidity"
"Tight Suppression",90,90,75,1,3.75,"Depression",-180.45,"Morbidity"
"Tight Suppression",50,50,90,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",50,50,90,0,3.125,"Depression",-141.22,"Morbidity"
"Tight Suppression",50,50,90,0,3.75,"Depression",-337.57,"Morbidity"
"Tight Suppression",50,50,90,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",50,50,90,1,3.125,"Depression",-123.29,"Morbidity"
"Tight Suppression",50,50,90,1,3.75,"Depression",-364.85,"Morbidity"
"Tight Suppression",50,75,90,0,2.5,"Depression",-0.54,"Morbidity"
"Tight Suppression",50,75,90,0,3.125,"Depression",-108.78,"Morbidity"
"Tight Suppression",50,75,90,0,3.75,"Depression",-232.48,"Morbidity"
"Tight Suppression",50,75,90,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",50,75,90,1,3.125,"Depression",-91.15,"Morbidity"
"Tight Suppression",50,75,90,1,3.75,"Depression",-261.08,"Morbidity"
"Tight Suppression",50,90,90,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",50,90,90,0,3.125,"Depression",-100.09,"Morbidity"
"Tight Suppression",50,90,90,0,3.75,"Depression",-194.19,"Morbidity"
"Tight Suppression",50,90,90,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",50,90,90,1,3.125,"Depression",-87.15,"Morbidity"
"Tight Suppression",50,90,90,1,3.75,"Depression",-215.08,"Morbidity"
"Tight Suppression",75,50,90,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,50,90,0,3.125,"Depression",-74.13,"Morbidity"
"Tight Suppression",75,50,90,0,3.75,"Depression",-252.62,"Morbidity"
"Tight Suppression",75,50,90,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,50,90,1,3.125,"Depression",-64.16,"Morbidity"
"Tight Suppression",75,50,90,1,3.75,"Depression",-271.7,"Morbidity"
"Tight Suppression",75,75,90,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,75,90,0,3.125,"Depression",-62.66,"Morbidity"
"Tight Suppression",75,75,90,0,3.75,"Depression",-187.37,"Morbidity"
"Tight Suppression",75,75,90,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,75,90,1,3.125,"Depression",-45.4,"Morbidity"
"Tight Suppression",75,75,90,1,3.75,"Depression",-180.39,"Morbidity"
"Tight Suppression",75,90,90,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,90,90,0,3.125,"Depression",-50.44,"Morbidity"
"Tight Suppression",75,90,90,0,3.75,"Depression",-179.53,"Morbidity"
"Tight Suppression",75,90,90,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",75,90,90,1,3.125,"Depression",-42.96,"Morbidity"
"Tight Suppression",75,90,90,1,3.75,"Depression",-171.89,"Morbidity"
"Tight Suppression",90,50,90,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,50,90,0,3.125,"Depression",-27.11,"Morbidity"
"Tight Suppression",90,50,90,0,3.75,"Depression",-177.96,"Morbidity"
"Tight Suppression",90,50,90,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,50,90,1,3.125,"Depression",-20.39,"Morbidity"
"Tight Suppression",90,50,90,1,3.75,"Depression",-199.77,"Morbidity"
"Tight Suppression",90,75,90,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,75,90,0,3.125,"Depression",-24.41,"Morbidity"
"Tight Suppression",90,75,90,0,3.75,"Depression",-168.42,"Morbidity"
"Tight Suppression",90,75,90,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,75,90,1,3.125,"Depression",-18.61,"Morbidity"
"Tight Suppression",90,75,90,1,3.75,"Depression",-153.92,"Morbidity"
"Tight Suppression",90,90,90,0,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,90,90,0,3.125,"Depression",-20.42,"Morbidity"
"Tight Suppression",90,90,90,0,3.75,"Depression",-162.98,"Morbidity"
"Tight Suppression",90,90,90,1,2.5,"Depression",0,"Morbidity"
"Tight Suppression",90,90,90,1,3.125,"Depression",-10.69,"Morbidity"
"Tight Suppression",90,90,90,1,3.75,"Depression",-152.1,"Morbidity"
"Loose Suppression",50,50,60,0,2.5,"Depression",0,"Morbidity"
"Loose Suppression",50,50,60,0,3.125,"Depression",-262.55,"Morbidity"
"Loose Suppression",50,50,60,0,3.75,"Depression",-411.27,"Morbidity"
"Loose Suppression",50,50,60,1,2.5,"Depression",-1.11,"Morbidity"
"Loose Suppression",50,50,60,1,3.125,"Depression",-195.09,"Morbidity"
"Loose Suppression",50,50,60,1,3.75,"Depression",-378.02,"Morbidity"
"Loose Suppression",50,75,60,0,2.5,"Depression",0,"Morbidity"
"Loose Suppression",50,75,60,0,3.125,"Depression",-189.12,"Morbidity"
"Loose Suppression",50,75,60,0,3.75,"Depression",-356.4,"Morbidity"
"Loose Suppression",50,75,60,1,2.5,"Depression",0,"Morbidity"
"Loose Suppression",50,75,60,1,3.125,"Depression",-142.2,"Morbidity"
"Loose Suppression",50,75,60,1,3.75,"Depression",-354.64,"Morbidity"
"Loose Suppression",50,90,60,0,2.5,"Depression",0,"Morbidity"
"Loose Suppression",50,90,60,0,3.125,"Depression",-169.28,"Morbidity"
"Loose Suppression",50,90,60,0,3.75,"Depression",-306.42,"Morbidity"
"Loose Suppression",50,90,60,1,2.5,"Depression",0,"Morbidity"
"Loose Suppression",50,90,60,1,3.125,"Depression",-127.91,"Morbidity"
"Loose Suppression",50,90,60,1,3.75,"Depression",-300.33,"Morbidity"
"Loose Suppression",75,50,60,0,2.5,"Depression",-0.67,"Morbidity"
"Loose Suppression",75,50,60,0,3.125,"Depression",-186.3,"Morbidity"
"Loose Suppression",75,50,60,0,3.75,"Depression",-384.88,"Morbidity"
"Loose Suppression",75,50,60,1,2.5,"Depression",0,"Morbidity"
"Loose Suppression",75,50,60,1,3.125,"Depression",-142.76,"Morbidity"
"Loose Suppression",75,50,60,1,3.75,"Depression",-363.88,"Morbidity"
